GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage Report/spark-3.2-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark32BigQueryPartitionReader,0,82,0,0,0,15,0,3,0,3
Coverage Report/spark-3.2-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark32BigQueryTableProvider,0,13,0,0,0,3,0,3,0,3
Coverage Report/spark-3.2-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark32BigQueryPartitionReaderFactory,0,30,0,0,0,7,0,4,0,4
Coverage Report/spark-3.2-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark32BigQueryTable,0,14,0,0,0,4,0,2,0,2
Coverage Report/spark-3.2-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark32BigQueryScanBuilder,23,90,0,0,7,14,3,5,3,5
Coverage Report/spark-3.3-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark33BigQueryScanBuilder,0,4,0,0,0,2,0,1,0,1
Coverage Report/spark-3.3-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark33BigQueryTable,0,14,0,0,0,4,0,2,0,2
Coverage Report/spark-3.3-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark33BigQueryTableProvider,0,13,0,0,0,3,0,3,0,3
Coverage Report/spark-3.4-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark34BigQueryTable,0,5,0,0,0,2,0,1,0,1
Coverage Report/spark-3.4-bigquery-lib,com.google.cloud.spark.bigquery.v2,TimestampNTZTypeConverter,36,53,3,3,3,20,3,7,0,7
Coverage Report/spark-3.4-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark34BigQueryTableProvider,0,13,0,0,0,3,0,3,0,3
Coverage Report/spark-3.5-bigquery-lib,com.google.cloud.spark.bigquery.v2,BigQueryIdentifier,59,0,2,0,10,0,7,0,6,0
Coverage Report/spark-3.5-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark35BigQueryTableProvider,13,0,0,0,3,0,3,0,3,0
Coverage Report/spark-3.5-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark35BigQueryTable,13,0,0,0,3,0,2,0,2,0
Coverage Report/spark-3.5-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark35BigQueryWriteBuilder,23,0,0,0,6,0,4,0,4,0
Coverage Report/spark-3.5-bigquery-lib,com.google.cloud.spark.bigquery,BigQueryCatalog,768,0,51,0,160,0,65,0,38,0
Coverage Report/spark-3.5-bigquery-lib,com.google.cloud.spark.bigquery,NoSuchBigQueryTableException,14,0,0,0,6,0,3,0,3,0
Coverage Report/spark-4.0-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark40BigQueryWriteBuilder,6,0,0,0,2,0,1,0,1,0
Coverage Report/spark-4.0-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark40BigQueryTableProvider,13,0,0,0,3,0,3,0,3,0
Coverage Report/spark-4.0-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark40BigQueryTable,13,0,0,0,3,0,2,0,2,0
Coverage Report/spark-4.1-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark41BigQueryWriteBuilder,6,0,0,0,2,0,1,0,1,0
Coverage Report/spark-4.1-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark41BigQueryTableProvider,13,0,0,0,3,0,3,0,3,0
Coverage Report/spark-4.1-bigquery-lib,com.google.cloud.spark.bigquery.v2,Spark41BigQueryTable,13,0,0,0,3,0,2,0,2,0
